conversation_id,gemini_rouge1_f1,tfidf_rouge1_f1,ollama_rouge1_f1,gpt_rouge1_f1,gemini_rouge1_precision,tfidf_rouge1_precision,ollama_rouge1_precision,gpt_rouge1_precision,gemini_rouge1_recall,tfidf_rouge1_recall,ollama_rouge1_recall,gpt_rouge1_recall,gemini_rouge2_f1,tfidf_rouge2_f1,ollama_rouge2_f1,gpt_rouge2_f1,gemini_rouge2_precision,tfidf_rouge2_precision,ollama_rouge2_precision,gpt_rouge2_precision,gemini_rouge2_recall,tfidf_rouge2_recall,ollama_rouge2_recall,gpt_rouge2_recall,gemini_rougeL_f1,tfidf_rougeL_f1,ollama_rougeL_f1,gpt_rougeL_f1,gemini_rougeL_precision,tfidf_rougeL_precision,ollama_rougeL_precision,gpt_rougeL_precision,gemini_rougeL_recall,tfidf_rougeL_recall,ollama_rougeL_recall,gpt_rougeL_recall,gemini_summary_time_seconds,tfidf_summary_time_seconds,ollama_summary_time_seconds,gpt_summary_time_seconds
1djote,0.1600633914421553,0.9618889809444904,0.226615969581749,0.3897364771151179,1.0,0.9265762170790104,0.9675324675324676,1.0,0.0869939707149009,1.0,0.1283376399655469,0.2420327304048234,0.1507936507936507,0.9618573797678276,0.2132520944402132,0.3791666666666667,0.95,0.926517571884984,0.915032679738562,0.975,0.0818965517241379,1.0,0.1206896551724138,0.2353448275862069,0.1600633914421553,0.9618889809444904,0.2174904942965779,0.3897364771151179,1.0,0.9265762170790104,0.9285714285714286,1.0,0.0869939707149009,1.0,0.1231696813092162,0.2420327304048234,0.9708566665649414,0.04,4.712622880935669,9.099461555480955
1dkav2,0.3991853360488799,0.9597069597069596,0.4237881059470265,0.4208940231039678,1.0,0.9225352112676056,0.9883449883449884,1.0,0.2493638676844783,1.0,0.2697201017811705,0.2665394402035623,0.3914373088685015,0.9596823457544288,0.4052026013006503,0.4203117144293615,0.9820971867007672,0.9224897240164416,0.9462616822429908,1.0,0.2444302991725015,1.0,0.2577975811584977,0.2660725652450668,0.3991853360488799,0.9597069597069596,0.4187906046976511,0.4208940231039678,1.0,0.9225352112676056,0.9766899766899768,1.0,0.2493638676844783,1.0,0.2665394402035623,0.2665394402035623,2.532754421234131,0.07,12.891005754470823,5.191813707351685
1dksdx,0.4342105263157895,0.9870967741935484,0.3010244286840032,0.6269230769230769,1.0,0.9745222929936306,0.9646464646464646,1.0,0.2773109243697479,1.0,0.1783380018674136,0.4565826330532213,0.4245973645680819,0.9870848708487084,0.2794001578531965,0.6174582798459564,0.9797297297297296,0.9744990892531876,0.8984771573604061,0.985655737704918,0.2710280373831775,1.0,0.1654205607476635,0.4495327102803738,0.4342105263157895,0.9870967741935484,0.2899921197793538,0.6269230769230769,1.0,0.9745222929936306,0.9292929292929292,1.0,0.2773109243697479,1.0,0.1718020541549953,0.4565826330532213,1.945283889770508,0.03,5.289400815963745,8.092087268829346
1dl91y,0.288265306122449,0.9623520975259948,0.3039092055485498,0.5047353760445682,1.0,0.9274360746371804,0.9877049180327868,1.0,0.1684053651266766,1.0,0.1795827123695976,0.3375558867362146,0.2796934865900383,0.96232508073197,0.2941919191919191,0.4941438929168991,0.9733333333333334,0.9273858921161826,0.9588477366255144,0.9800884955752212,0.16331096196868,1.0,0.1737509321401938,0.3303504847129008,0.288265306122449,0.9623520975259948,0.3013871374527112,0.5047353760445682,1.0,0.9274360746371804,0.9795081967213116,1.0,0.1684053651266766,1.0,0.1780923994038748,0.3375558867362146,1.613480806350708,0.05,6.928958654403687,8.207851648330688
1dlrmz,0.1885175664095972,0.9710610932475884,0.3981900452488687,0.4045283018867925,1.0,0.94375,0.9814126394052044,1.0,0.1040681173131504,1.0,0.249763481551561,0.2535477767265847,0.1836909871244635,0.9710344827586208,0.3761329305135952,0.3945578231292517,0.981651376146789,0.9436997319034852,0.9291044776119404,0.9775280898876404,0.1013257575757575,1.0,0.2357954545454545,0.2471590909090909,0.1885175664095972,0.9710610932475884,0.392156862745098,0.4045283018867925,1.0,0.94375,0.966542750929368,1.0,0.1040681173131504,1.0,0.2459791863765373,0.2535477767265847,1.0597219467163086,0.03,7.1210808753967285,8.891975402832031
1dlxdf,0.2163978494623656,0.9840563589173156,0.2699545749513303,0.4183551847437425,1.0,0.9686131386861314,0.97196261682243,1.0,0.121326299924642,1.0,0.1567445365486058,0.2645064054257724,0.2126514131897712,0.9840445269016698,0.2547108512020792,0.4140811455847256,0.9875,0.9685902118334552,0.92018779342723,0.9914285714285714,0.1191553544494721,1.0,0.1478129713423831,0.2616892911010558,0.2163978494623656,0.9840563589173156,0.236210253082414,0.4183551847437425,1.0,0.9686131386861314,0.8504672897196262,1.0,0.121326299924642,1.0,0.1371514694800301,0.2645064054257724,1.140505075454712,0.05,6.404653310775757,5.886272192001343
1dlzxn,0.2679692951849267,0.9542483660130718,0.208183776022972,0.3595505617977528,1.0,0.9125,0.9539473684210528,1.0,0.1547139403706688,1.0,0.1168412570507655,0.2191780821917808,0.257162823200559,0.954213158907272,0.1480948957584471,0.3481138318994043,0.9633507853403142,0.9124356144223694,0.6821192052980133,0.970479704797048,0.1483870967741935,1.0,0.0830645161290322,0.2120967741935484,0.2679692951849267,0.9542483660130718,0.1780330222541278,0.3595505617977528,1.0,0.9125,0.8157894736842105,1.0,0.1547139403706688,1.0,0.0999194198227236,0.2191780821917808,1.4531550407409668,0.05,5.164693832397461,4.586803913116455
1dmt0p,0.1389365351629502,0.9726580008964588,0.374251497005988,0.488857938718663,1.0,0.9467713787085514,0.99601593625498,1.0,0.0746543778801843,1.0,0.2304147465437788,0.3235023041474654,0.1374570446735395,0.9726334679228352,0.361319340329835,0.4728033472803347,1.0,0.9467248908296944,0.964,0.9685714285714284,0.07380073800738,1.0,0.2223247232472324,0.312730627306273,0.1389365351629502,0.9726580008964588,0.3697604790419161,0.488857938718663,1.0,0.9467713787085514,0.9840637450199204,1.0,0.0746543778801843,1.0,0.2276497695852534,0.3235023041474654,0.7547895908355713,0.03,6.6949639320373535,3.9945969581604
1dmwqf,0.7549132947976879,0.9737793851717902,0.1954887218045112,0.4161764705882353,1.0,0.9488986784140968,0.975,1.0,0.606313834726091,1.0,0.1086350974930362,0.2627669452181987,0.7523148148148148,0.9737556561085972,0.1824267782426778,0.406480117820324,0.9969325153374232,0.948853615520282,0.9159663865546218,0.9787234042553192,0.604089219330855,1.0,0.1013011152416356,0.2565055762081784,0.7549132947976879,0.9737793851717902,0.1888053467000835,0.4161764705882353,1.0,0.9488986784140968,0.9416666666666668,1.0,0.606313834726091,1.0,0.1049210770659238,0.2627669452181987,3.2737131118774414,0.03,3.6247613430023193,4.12844181060791
1dnaec,0.2588555858310627,0.9808135072908672,0.2133891213389121,0.4405125076266016,1.0,0.9623493975903614,0.9807692307692308,1.0,0.1486697965571205,1.0,0.1197183098591549,0.282472613458529,0.2510231923601637,0.9807987711213516,0.2025139664804469,0.4239462431276726,0.9735449735449736,0.9623210248681237,0.935483870967742,0.9638888888888888,0.144087705559906,1.0,0.1135473766640563,0.2717306186374315,0.2588555858310627,0.9808135072908672,0.2078103207810321,0.4405125076266016,1.0,0.9623493975903614,0.9551282051282052,1.0,0.1486697965571205,1.0,0.1165884194053208,0.282472613458529,1.9246835708618164,0.04,4.749826669692993,8.310648679733276
1dnc25,0.3474103585657371,0.9642026964202696,0.3981552651806302,0.403387220939184,1.0,0.9308797127468582,0.981060606060606,1.0,0.210221793635487,1.0,0.2497589199614271,0.2526518804243008,0.3415802075019952,0.9641693811074918,0.3787528868360277,0.3901310717039321,0.9861751152073732,0.9308176100628932,0.935361216730038,0.9693486590038314,0.2065637065637065,1.0,0.2374517374517374,0.2442084942084942,0.3474103585657371,0.9642026964202696,0.393543428132206,0.403387220939184,1.0,0.9308797127468582,0.9696969696969696,1.0,0.210221793635487,1.0,0.2468659594985535,0.2526518804243008,1.2152981758117676,0.03,6.7398412227630615,6.323723554611206
1dogl1,N/A,0.9666666666666666,0.2693452380952381,0.5554171855541719,N/A,0.935483870967742,0.9836956521739132,1.0,N/A,1.0,0.1560344827586207,0.3844827586206896,N/A,0.9666388657214344,0.2533532041728763,0.5511221945137157,N/A,0.9354317998385796,0.9289617486338798,0.9932584269662922,N/A,1.0,0.1466781708369283,0.3813632441760138,N/A,0.9666666666666666,0.2470238095238095,0.5554171855541719,N/A,0.935483870967742,0.9021739130434784,1.0,N/A,1.0,0.143103448275862,0.3844827586206896,N/A,0.05,5.395044565200806,6.305163145065308
1dojlv,0.2829629629629629,0.9817873782295636,0.2639821029082774,0.4739960500329163,1.0,0.9642262895174708,0.9725274725274724,1.0,0.1647972389991371,1.0,0.1527178602243313,0.3106125970664365,0.2804154302670623,0.9817719372615514,0.2494398805078417,0.4667106130520764,0.9947368421052633,0.964196502914238,0.9226519337016574,0.9860724233983288,0.1632124352331606,1.0,0.1442141623488773,0.3056994818652849,0.2829629629629629,0.9817873782295636,0.2535421327367635,0.4739960500329163,1.0,0.9642262895174708,0.934065934065934,1.0,0.1647972389991371,1.0,0.1466781708369283,0.3106125970664365,1.344517469406128,0.03,5.307393789291382,5.457942485809326
